source_folder,source_session_path,session_id,participant_id,timestamp_ms,label_3class,delta_pct,theta_pct,low_alpha_pct,high_alpha_pct,low_beta_pct,high_beta_pct,low_gamma_pct,mid_gamma_pct,attention,meditation,signal_quality,marker_ev_praised_active,marker_ev_qna_active,marker_ev_question_active,marker_ev_scolded_active,marker_ev_speaking_active,marker_ev_tech_issue_active
sessions,sessions/0054,0054,P0054,1774857989814,neutral,0.9371888215,0.0376275428,0.0052730612,0.0032394894,0.0057693302,0.0036209862,0.0044066109,0.0028741578,56,47,51,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774857990806,neutral,0.6787914271,0.1017082955,0.0420140631,0.0543171073,0.0760956012,0.0240594983,0.0158657839,0.0071482235,56,47,51,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774857991804,neutral,0.9381998722,0.0307184061,0.0049432539,0.0096204364,0.0051309895,0.0081482652,0.0021339730,0.0011048037,56,47,51,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774857992798,neutral,0.7938969175,0.0643001922,0.0222274869,0.0241504120,0.0130774698,0.0366566638,0.0359143436,0.0097765143,56,47,51,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774857994778,neutral,0.5795842472,0.1018087256,0.0924520017,0.0458629374,0.0663433294,0.0472386448,0.0291822196,0.0375278942,56,47,51,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774857996769,neutral,0.1752103174,0.1853862700,0.2514694535,0.2397581787,0.1259343157,0.0126799935,0.0060076422,0.0035538290,56,47,51,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774857998750,neutral,0.4016684888,0.1844592823,0.1174123609,0.0464096329,0.0911640595,0.0897268229,0.0575865322,0.0115728206,56,47,51,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858001730,neutral,0.6218111055,0.0653462355,0.0425600607,0.0797945601,0.0797501311,0.0929485186,0.0145282969,0.0032610917,0,0,26,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858003714,neutral,0.9788449395,0.0030787432,0.0001914245,0.0051711188,0.0072156383,0.0044639118,0.0008108952,0.0002233285,0,0,51,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858005704,neutral,0.7039147272,0.0944409463,0.0053741469,0.0371304692,0.0425831582,0.1021074590,0.0072125657,0.0072365277,0,0,51,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858007687,neutral,0.8565848581,0.0613601918,0.0098326324,0.0105611224,0.0237929343,0.0328803298,0.0033326326,0.0016552986,0,0,51,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858008685,neutral,0.7520983581,0.0502082567,0.0111206477,0.0577916987,0.0573402591,0.0653900029,0.0020695626,0.0039812142,0,0,26,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858010673,neutral,0.7805272026,0.1160032783,0.0174383534,0.0110706317,0.0239060005,0.0261859492,0.0151868238,0.0096817606,0,0,26,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858011672,neutral,0.5145846237,0.1043574818,0.0380136592,0.0599454070,0.2440537854,0.0261577716,0.0065674200,0.0063198513,0,0,0,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858012653,neutral,0.8045610900,0.0577143803,0.0350002758,0.0315472447,0.0274848034,0.0276220420,0.0097015831,0.0063685807,0,0,0,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858014641,neutral,0.6968361063,0.1609652378,0.0286410269,0.0343007238,0.0427124700,0.0192424406,0.0081141457,0.0091878490,0,0,51,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858015638,neutral,0.4476518694,0.2940482085,0.0559975403,0.1123290902,0.0176173077,0.0490432261,0.0184903014,0.0048224563,63,75,0,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858016635,neutral,0.6819719033,0.0957341452,0.0943659905,0.0641418773,0.0378278253,0.0121776767,0.0061548619,0.0076257198,63,75,26,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858017623,neutral,0.9214942039,0.0255817956,0.0147807943,0.0248087857,0.0028383956,0.0056103607,0.0022676969,0.0026179670,66,93,0,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858019608,neutral,0.9015588266,0.0432757611,0.0056394716,0.0138626211,0.0118997921,0.0193584298,0.0019019836,0.0025031141,70,60,0,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858020607,stressed,0.5826937993,0.0372755273,0.2195710444,0.0148147879,0.0727194896,0.0550401945,0.0092589397,0.0086262172,70,83,0,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858022590,stressed,0.7406849779,0.0865584639,0.0409644265,0.0267671697,0.0565853049,0.0350394337,0.0065385948,0.0068616287,81,69,0,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858023582,stressed,0.8946527106,0.0334178026,0.0085855898,0.0153205963,0.0418953560,0.0029743094,0.0018307400,0.0013228952,75,38,0,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858024576,stressed,0.8370895427,0.1202125258,0.0134286568,0.0169105671,0.0064245759,0.0022948400,0.0016238341,0.0020154575,38,37,0,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858026563,stressed,0.5025371829,0.2714960630,0.0493030038,0.0393117527,0.0324234471,0.0326625838,0.0482531350,0.0240128317,7,1,0,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858027562,stressed,0.7403998641,0.1163560603,0.0360322461,0.0270376350,0.0285287093,0.0195843131,0.0148723133,0.0171888587,20,4,0,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858028562,stressed,0.9416972483,0.0307299781,0.0090341333,0.0047130557,0.0080489803,0.0039121048,0.0006233272,0.0012411723,41,10,0,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858029549,stressed,0.4477062724,0.1933742798,0.0624796173,0.0730459833,0.1141863246,0.0405533210,0.0157897598,0.0528644418,41,10,51,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858030533,stressed,0.4857443453,0.2308213895,0.1332106288,0.0887189584,0.0386177155,0.0100745247,0.0078762628,0.0049361750,41,10,51,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858031530,stressed,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,41,10,25,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858033516,stressed,0.4297544515,0.1883157334,0.0913054518,0.1244696068,0.0539998577,0.1070245720,0.0033789855,0.0017513412,41,10,51,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858035497,stressed,0.6311659861,0.2868677536,0.0119839945,0.0094214778,0.0309998212,0.0180233078,0.0061294745,0.0054081846,50,1,0,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858039472,stressed,0.7987086009,0.0423738886,0.0687755708,0.0473657745,0.0166487623,0.0140636785,0.0065644214,0.0054993029,63,29,51,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858040469,stressed,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,63,29,25,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858042456,stressed,0.5219167262,0.1905659022,0.0295919100,0.0864588129,0.0946662330,0.0613064287,0.0070014404,0.0084925466,63,29,25,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858043451,stressed,0.2799751565,0.3718730911,0.0657553801,0.0258682660,0.0332256765,0.0690477185,0.0734448374,0.0808098740,63,29,51,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858044437,stressed,0.4776341727,0.2425122537,0.1409231880,0.0896466298,0.0349919411,0.0063687720,0.0045262206,0.0033968222,63,29,51,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858045435,stressed,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,63,29,25,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858049407,stressed,0.8452864758,0.0774433305,0.0228065856,0.0091112379,0.0139802565,0.0137925089,0.0106007996,0.0069788050,63,29,26,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858050403,stressed,0.8609786886,0.0722269532,0.0102189741,0.0196192255,0.0145864081,0.0125245411,0.0060336306,0.0038115788,63,29,51,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858051389,stressed,0.6921350054,0.1379411833,0.0073934689,0.0626416851,0.0548719898,0.0234762975,0.0176781186,0.0038622514,63,29,25,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858053378,stressed,0.8453752326,0.1222170604,0.0103296306,0.0040565169,0.0040159518,0.0078174876,0.0047577149,0.0014304051,63,29,51,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858054373,stressed,0.8805060432,0.0580839670,0.0226910842,0.0119502735,0.0106252289,0.0118210366,0.0035966890,0.0007256777,63,29,25,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858056360,stressed,0.5275241841,0.3124709655,0.0664868422,0.0067132434,0.0139155197,0.0513074656,0.0095677382,0.0120140413,63,29,25,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858058343,stressed,0.8412258524,0.0327484094,0.0081162288,0.0362949806,0.0433881229,0.0250024589,0.0091142443,0.0041097026,63,29,25,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858060334,stressed,0.5322368586,0.2090494632,0.0596923089,0.0372638534,0.1198667837,0.0361683544,0.0046156198,0.0011067580,69,57,51,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858063312,stressed,0.3194269521,0.2879295610,0.1034544800,0.0095245592,0.1309936128,0.1148906981,0.0182732098,0.0155069270,66,56,0,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858064302,stressed,0.7467643129,0.1549068948,0.0486645957,0.0149037711,0.0100029502,0.0096628083,0.0073130521,0.0077816150,60,54,0,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858065298,stressed,0.6396717719,0.1972447622,0.0495160070,0.0421739244,0.0167819031,0.0084796619,0.0303389256,0.0157930441,44,57,0,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858066354,stressed,0.7409014882,0.1296944539,0.0478331731,0.0301246452,0.0187474253,0.0112218918,0.0155226790,0.0059542435,38,57,0,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858067287,stressed,0.7620314014,0.1837441301,0.0051070919,0.0083788777,0.0203718965,0.0092153537,0.0078282859,0.0033229627,16,41,0,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858071259,stressed,0.8062134021,0.0643982179,0.0112606356,0.0370741950,0.0460971704,0.0297821106,0.0029562967,0.0022179716,80,67,0,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858074238,stressed,0.5803071256,0.1523360869,0.0885560331,0.0770739810,0.0474074789,0.0391477925,0.0125722569,0.0025992451,74,67,26,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858076219,neutral,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,74,67,54,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858077221,neutral,0.2500000000,0.2500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5000000000,74,67,54,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858078208,neutral,0.0544756140,0.0790362007,0.0213013619,0.0073332557,0.0408567105,0.0247933884,0.0202537539,0.7519497148,74,67,29,0,0,0,0,0,1
sessions,sessions/0054,0054,P0054,1774858081194,neutral,0.5951025537,0.1492877633,0.0129519919,0.0392903995,0.0885721573,0.0228442984,0.0467832358,0.0451676002,0,0,200,0,0,0,0,0,1
sessions,sessions/0056,0056,P0056,1774855795819,neutral,0.2630849906,0.3653903235,0.1881864055,0.1146729989,0.0560997329,0.0112793114,0.0009894133,0.0002968240,0,0,25,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856057036,neutral,0.9348265800,0.0360398791,0.0037376570,0.0058693040,0.0053715276,0.0017335497,0.0011695269,0.0112519758,1,17,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856059023,neutral,0.8497673887,0.0578888714,0.0392089673,0.0160311918,0.0143826926,0.0048004050,0.0025128808,0.0154076022,17,27,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856060018,neutral,0.8622324780,0.0609147690,0.0194272381,0.0171476208,0.0103195117,0.0067346470,0.0022001207,0.0210236148,41,35,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856062005,neutral,0.9244553303,0.0340601044,0.0037166878,0.0076421282,0.0068762067,0.0020310663,0.0028504759,0.0183680004,41,48,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856062993,neutral,0.9188715843,0.0475968776,0.0079401296,0.0035079592,0.0019454646,0.0061298309,0.0010056573,0.0130024965,50,37,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856065978,neutral,0.8279724860,0.0984346069,0.0191183332,0.0154625599,0.0067926754,0.0040917830,0.0061209049,0.0220066506,14,37,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856066973,neutral,0.5885826640,0.2404181185,0.0286770951,0.0196787202,0.0180368763,0.0089950310,0.0063567115,0.0892547834,1,37,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856067958,neutral,0.4939743892,0.3954739942,0.0100657712,0.0121435681,0.0146215332,0.0050354508,0.0047584112,0.0639268821,4,21,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856069948,neutral,0.9711575167,0.0148750260,0.0059476509,0.0016027815,0.0016095230,0.0010609369,0.0012555965,0.0024909686,21,16,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856072928,neutral,0.8636178120,0.0661436584,0.0216374980,0.0085077821,0.0049453792,0.0047399599,0.0040453184,0.0263625921,27,34,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856073935,neutral,0.6617937550,0.1293552543,0.0514305871,0.0423526164,0.0365051224,0.0123041531,0.0070394454,0.0592190663,27,37,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856074911,neutral,0.7975162235,0.0922191285,0.0223600011,0.0121130137,0.0046165928,0.0035336512,0.0054868540,0.0621545352,35,35,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856076900,neutral,0.8716933680,0.0716232392,0.0188186929,0.0043649114,0.0129738226,0.0045704613,0.0020216432,0.0139338613,35,41,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856078885,neutral,0.5067974892,0.3271299728,0.0554317787,0.0165406285,0.0131429551,0.0096317402,0.0117461814,0.0595792541,23,29,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856079880,neutral,0.9242959406,0.0248986784,0.0137640840,0.0183648920,0.0026294896,0.0023547191,0.0008674440,0.0128247523,27,38,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856081866,neutral,0.8351278764,0.1142504706,0.0091381842,0.0132868702,0.0080125805,0.0064162801,0.0038740657,0.0098936723,26,38,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856083852,neutral,0.9081838097,0.0525801939,0.0034486778,0.0106957586,0.0060121141,0.0056393169,0.0022489265,0.0111912025,51,23,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856084851,neutral,0.4889241226,0.2812954628,0.0436045190,0.0107576378,0.0041939444,0.0154914530,0.0146219767,0.1411108838,60,20,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856086834,neutral,0.4075987691,0.2763600958,0.1149878826,0.0187481788,0.0057992850,0.0145024768,0.0084615549,0.1535417570,51,40,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856087824,neutral,0.5063535916,0.2651766238,0.0202493390,0.0097012944,0.0159073350,0.0106978200,0.0085297838,0.1633842125,41,29,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856088820,neutral,0.7460634484,0.1269854441,0.0146474343,0.0040173858,0.0083609696,0.0097058209,0.0072393063,0.0829801906,47,26,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856090804,neutral,0.7754815283,0.0349041504,0.0605545312,0.0434673078,0.0553336765,0.0126894569,0.0068670311,0.0107023179,34,14,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856092795,neutral,0.8048474934,0.0780046068,0.0392095411,0.0048505510,0.0275711063,0.0074282822,0.0021403237,0.0359480955,43,43,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856095776,neutral,0.6160756875,0.1715288983,0.0803885187,0.0260556471,0.0088443925,0.0410893634,0.0109651578,0.0450523347,61,43,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856097758,neutral,0.4655148021,0.2236947331,0.0578607904,0.0316623752,0.0097931320,0.0074505838,0.0192109797,0.1848126036,54,40,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856098755,neutral,0.8980866305,0.0603281452,0.0029270608,0.0011850479,0.0035147188,0.0035124729,0.0005457359,0.0299001880,56,27,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856099741,neutral,0.8247914184,0.0799682161,0.0378418752,0.0120588002,0.0061025030,0.0074088200,0.0061628923,0.0256654748,48,27,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856101730,neutral,0.8678428901,0.0814526782,0.0123141826,0.0090780759,0.0155584290,0.0061059276,0.0005721037,0.0070757130,54,37,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856102725,neutral,0.5733081896,0.2525055392,0.0282933366,0.0163488217,0.0349908673,0.0063449521,0.0066514468,0.0815568467,47,44,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856104710,neutral,0.4007974934,0.4170567643,0.0114960669,0.0188816190,0.0270429081,0.0171616226,0.0102682624,0.0972952634,40,7,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856106696,calm,0.7083899498,0.1872392445,0.0380435519,0.0276065616,0.0083748721,0.0107150693,0.0050216730,0.0146090778,40,21,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856108683,calm,0.8989747764,0.0367504023,0.0403978242,0.0033772425,0.0046247851,0.0018569473,0.0025053779,0.0115126444,44,56,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856109679,calm,0.4889457422,0.3737865848,0.0087068889,0.0194406957,0.0267954376,0.0104967251,0.0041736792,0.0676542464,41,38,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856110668,calm,0.7940724482,0.0627394361,0.0257452961,0.0196908475,0.0328975903,0.0125455908,0.0065629985,0.0457457924,53,41,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856111665,calm,0.2916269985,0.5515663988,0.0826010326,0.0187933903,0.0145744868,0.0106116960,0.0063371514,0.0238888455,38,30,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856113653,calm,0.8141911838,0.0856813178,0.0380762871,0.0205864593,0.0094639851,0.0071957572,0.0046777468,0.0201272630,50,30,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856115639,calm,0.2980441711,0.5615104866,0.0121248710,0.0349582438,0.0335447561,0.0212772395,0.0049364003,0.0336038315,56,23,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856116632,calm,0.8829916542,0.0919817185,0.0023527209,0.0067174556,0.0038659517,0.0017280911,0.0011709889,0.0091914191,47,21,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856117621,calm,0.8154984839,0.0815950317,0.0566981157,0.0207896933,0.0025096706,0.0032012516,0.0030337353,0.0166740179,38,24,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856120604,calm,0.9211935810,0.0303554300,0.0082346028,0.0249094790,0.0098972511,0.0024905158,0.0011934082,0.0017257322,43,30,51,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856122587,calm,0.9310759803,0.0459726406,0.0041874990,0.0050043064,0.0083813510,0.0043281714,0.0006207736,0.0004292776,43,30,25,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856123799,calm,0.5190342970,0.1341652234,0.0099086697,0.1008511331,0.1620971920,0.0500288645,0.0107198366,0.0131947837,43,30,51,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856124572,calm,0.6245434754,0.1892863866,0.0446122811,0.0218401434,0.0183905989,0.0448015603,0.0315101839,0.0250153704,43,30,51,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856126563,calm,0.3621661455,0.1849591134,0.0064512636,0.0943416410,0.1643969488,0.1461432405,0.0267572265,0.0147844208,43,30,25,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856127556,calm,0.8756894548,0.0620733752,0.0095340705,0.0198155307,0.0150036035,0.0073828989,0.0047621821,0.0057388844,57,44,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856129541,calm,0.5707536926,0.1217721917,0.1046095559,0.0875103988,0.0454975227,0.0257088733,0.0102133887,0.0339343764,88,56,0,0,0,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856131526,calm,0.7118529029,0.2446093713,0.0074012429,0.0080970279,0.0107369182,0.0035232645,0.0035812465,0.0101980259,66,37,0,0,1,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856132525,calm,0.9140811655,0.0513215816,0.0081934993,0.0090939757,0.0080150767,0.0014329563,0.0016866509,0.0061750939,47,27,0,0,1,0,0,0,0
sessions,sessions/0065,0065,P0065,1774856133513,calm,0.4471646974,0.2904794342,0.0590751779,0.0606820520,0.0381374381,0.0391690277,0.0131387129,0.0521534597,47,16,0,0,1,1,0,0,0
sessions,sessions/0065,0065,P0065,1774856136504,stressed,0.7616981017,0.1499179766,0.0361128712,0.0093897284,0.0136167553,0.0057772261,0.0036211820,0.0198661586,63,38,0,0,1,1,0,0,0
sessions,sessions/0065,0065,P0065,1774856138486,stressed,0.4527797427,0.3103011850,0.0254976498,0.1065385861,0.0355386456,0.0120745300,0.0067541587,0.0505155021,64,40,0,0,1,1,0,0,0
sessions,sessions/0065,0065,P0065,1774856140465,stressed,0.7086094750,0.1581312977,0.0157852961,0.0393508519,0.0154586674,0.0067608622,0.0102036337,0.0456999161,53,37,0,0,1,1,0,0,0
sessions,sessions/0065,0065,P0065,1774856141461,stressed,0.7375964019,0.0950395977,0.0391595702,0.0273554458,0.0252634444,0.0184274993,0.0118767093,0.0452813314,54,41,0,0,1,1,0,0,0
sessions,sessions/0065,0065,P0065,1774856143448,stressed,0.7846356190,0.1216048452,0.0260470482,0.0229215397,0.0137540678,0.0186295064,0.0045268254,0.0078805483,66,29,0,0,1,1,0,0,0
sessions,sessions/0065,0065,P0065,1774856144447,stressed,0.4101984422,0.3062513779,0.0612646027,0.0370970961,0.1353408850,0.0339646996,0.0085284388,0.0073544576,75,24,0,0,1,1,0,0,0
sessions,sessions/0065,0065,P0065,1774856145433,stressed,0.8863129970,0.0646591689,0.0073431274,0.0135945600,0.0145079767,0.0080397195,0.0023410176,0.0032014328,74,17,0,0,1,1,0,0,0
sessions,sessions/0065,0065,P0065,1774856147417,stressed,0.6532090461,0.0862558877,0.0803207636,0.1037941603,0.0251841808,0.0336273884,0.0149502067,0.0026583664,67,20,51,0,1,1,0,0,0
sessions,sessions/0065,0065,P0065,1774856150401,stressed,0.7352512227,0.0864379377,0.0165859738,0.0396222907,0.0841696772,0.0292055786,0.0053129444,0.0034143748,84,29,0,0,1,1,0,0,0
sessions,sessions/0065,0065,P0065,1774856152385,stressed,0.5438596491,0.1228070175,0.1438596491,0.0596491228,0.0456140351,0.0526315789,0.0157894737,0.0157894737,84,29,25,0,1,1,0,0,0
sessions,sessions/0065,0065,P0065,1774856154374,stressed,0.9215913233,0.0420043294,0.0156707258,0.0074790410,0.0075370642,0.0025128506,0.0016975504,0.0015071153,63,40,25,0,1,1,0,0,0
sessions,sessions/0065,0065,P0065,1774856156357,stressed,0.7919457263,0.1487119497,0.0024334972,0.0120033639,0.0284200245,0.0095332638,0.0033290856,0.0036230889,74,38,0,0,1,1,0,0,0
sessions,sessions/0065,0065,P0065,1774856158344,stressed,0.8152677896,0.0603535236,0.0375742719,0.0487155064,0.0156551283,0.0179301523,0.0029231178,0.0015805100,74,38,26,0,1,1,0,0,0
sessions,sessions/0065,0065,P0065,1774856159339,stressed,0.9223405675,0.0353724063,0.0153100968,0.0153172978,0.0069895946,0.0021374156,0.0015422771,0.0009903444,74,38,26,0,1,1,0,1,0
sessions,sessions/0065,0065,P0065,1774856161324,stressed,0.9266698485,0.0327549823,0.0112742023,0.0116873360,0.0086964652,0.0064731534,0.0019917395,0.0004522727,69,40,26,0,1,1,0,1,0
sessions,sessions/0065,0065,P0065,1774856163308,stressed,0.8484675746,0.0649985339,0.0061256725,0.0275028521,0.0166407886,0.0166504882,0.0086401082,0.0109739819,69,40,51,0,1,1,0,1,0
